repetition,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status,duration_sec
1.0,MAPE,3.0,0.0,relu,1.0,64.0,0.0,1.54056715965271,0.3209196031093597,0.317656397819519,-0.0294807700720793,-0.0525109229262236,1.54056715965271,0.3334667086601257,0.3212213814258575,-0.0125961904364347,-0.0619177799163544,1.9562880992889404,"{""loss"": 1.5148537158966064, ""mape"": 1.5148537158966064, ""mae"": 0.3065965175628662, ""val_loss"": 1.54056715965271, ""val_mape"": 1.54056715965271, ""val_mae"": 0.32091960310935974, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.31765639781951904, ""val_me"": -0.02948077007207931, ""val_me12"": -0.052510922926223697, ""mape_2021"": 1.9562880992889404, ""mae_2021"": 0.33346670866012573, ""mae12_2021"": 0.32122138142585754, ""me_2021"": -0.01259619043643478, ""me12_2021"": -0.0619177799163544, ""epochs_trained"": 10696}",2026-07-04T00:08:56.426139,completed,338.5
1.0,MAPE,3.0,0.0,relu,2.0,256.0,0.0,1.2936911582946775,0.256516695022583,0.3211304843425751,0.0046947436421893,-0.0826102265753709,1.2936911582946775,0.2518731951713562,0.3313527703285217,0.0272389891465822,-0.0670181879679312,1.5822607278823853,"{""loss"": 1.220557451248169, ""mape"": 1.220557451248169, ""mae"": 0.24100348353385925, ""val_loss"": 1.2936911582946777, ""val_mape"": 1.2936911582946777, ""val_mae"": 0.256516695022583, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.3211304843425751, ""val_me"": 0.004694743642189361, ""val_me12"": -0.08261022657537091, ""mape_2021"": 1.5822607278823853, ""mae_2021"": 0.2518731951713562, ""mae12_2021"": 0.33135277032852173, ""me_2021"": 0.027238989146582283, ""me12_2021"": -0.06701818796793128, ""epochs_trained"": 2059}",2026-07-04T00:15:50.578143,completed,169.0
3.0,MAPE,3.0,0.0,leaky_relu,1.0,64.0,0.0,1.5619601011276243,0.3277882635593414,0.3212780058383941,0.0553189448697861,-0.0238263987871839,1.5619601011276243,0.3508484065532684,0.3073628842830658,0.0446812523959992,-0.0640305995570791,1.986228108406067,"{""loss"": 1.6880377531051636, ""mape"": 1.6880377531051636, ""mae"": 0.34993767738342285, ""val_loss"": 1.5619601011276245, ""val_mape"": 1.5619601011276245, ""val_mae"": 0.32778826355934143, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.32127800583839417, ""val_me"": 0.05531894486978611, ""val_me12"": -0.023826398787183945, ""mape_2021"": 1.986228108406067, ""mae_2021"": 0.35084840655326843, ""mae12_2021"": 0.3073628842830658, ""me_2021"": 0.04468125239599929, ""me12_2021"": -0.06403059955707915, ""epochs_trained"": 3506}",2026-07-04T07:43:10.756290,completed,133.0
2.0,MAPE,3.0,0.0,selu,1.0,16.0,0.0,1.923393964767456,0.4204272031784057,0.3228673338890075,0.1093105818752923,-0.0248317432106016,1.923393964767456,0.4746891856193542,0.3276661932468414,0.11364148006651,-0.0397542535888326,2.5053579807281494,"{""loss"": 2.1147217750549316, ""mape"": 2.1147217750549316, ""mae"": 0.4520080089569092, ""val_loss"": 1.923393964767456, ""val_mape"": 1.923393964767456, ""val_mae"": 0.42042720317840576, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.32286733388900757, ""val_me"": 0.1093105818752923, ""val_me12"": -0.024831743210601692, ""mape_2021"": 2.5053579807281494, ""mae_2021"": 0.47468918561935425, ""mae12_2021"": 0.32766619324684143, ""me_2021"": 0.11364148006651, ""me12_2021"": -0.039754253588832694, ""epochs_trained"": 2922}",2026-07-04T04:27:45.091635,completed,194.3
3.0,MAPE,3.0,0.0,leaky_relu,1.0,16.0,0.0,1.3946274518966677,0.284086525440216,0.3229522109031677,0.0210728686203049,-0.0635123739498332,1.3946274518966677,0.3030677735805511,0.3229472041130066,0.0102684888102781,-0.0767853080855978,1.8634015321731567,"{""loss"": 1.5619794130325317, ""mape"": 1.5619794130325317, ""mae"": 0.3140498399734497, ""val_loss"": 1.3946274518966675, ""val_mape"": 1.3946274518966675, ""val_mae"": 0.28408652544021606, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3229522109031677, ""val_me"": 0.021072868620304976, ""val_me12"": -0.06351237394983326, ""mape_2021"": 1.8634015321731567, ""mae_2021"": 0.30306777358055115, ""mae12_2021"": 0.3229472041130066, ""me_2021"": 0.010268488810278162, ""me12_2021"": -0.07678530808559783, ""epochs_trained"": 5084}",2026-07-04T07:43:28.141095,completed,260.5
3.0,MAPE,3.0,0.0,leaky_relu,2.0,256.0,0.0,1.477387547492981,0.3035635650157928,0.3232481479644775,-0.0275866451115812,-0.0773992528715503,1.477387547492981,0.2892185747623443,0.3231519758701324,0.002515625434777,-0.0855335842447651,1.8403091430664065,"{""loss"": 1.3545682430267334, ""mape"": 1.3545682430267334, ""mae"": 0.2727440297603607, ""val_loss"": 1.477387547492981, ""val_mape"": 1.477387547492981, ""val_mae"": 0.30356356501579285, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.32324814796447754, ""val_me"": -0.027586645111581282, ""val_me12"": -0.07739925287155036, ""mape_2021"": 1.8403091430664062, ""mae_2021"": 0.28921857476234436, ""mae12_2021"": 0.32315197587013245, ""me_2021"": 0.0025156254347770907, ""me12_2021"": -0.08553358424476512, ""epochs_trained"": 3073}",2026-07-04T07:49:36.724528,completed,224.3
3.0,MAPE,3.0,0.0,selu,2.0,64.0,0.0,1.304421305656433,0.2595480978488922,0.3241016566753387,0.0387195874618087,-0.035183318079074,1.304421305656433,0.268178641796112,0.3504871428012848,0.0571501130106482,-0.1217410313147036,1.7235559225082395,"{""loss"": 1.326541781425476, ""mape"": 1.326541781425476, ""mae"": 0.2582095265388489, ""val_loss"": 1.304421305656433, ""val_mape"": 1.304421305656433, ""val_mae"": 0.2595480978488922, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.32410165667533875, ""val_me"": 0.038719587461808785, ""val_me12"": -0.03518331807907406, ""mape_2021"": 1.7235559225082397, ""mae_2021"": 0.26817864179611206, ""mae12_2021"": 0.3504871428012848, ""me_2021"": 0.05715011301064827, ""me12_2021"": -0.12174103131470365, ""epochs_trained"": 2974}",2026-07-04T07:59:15.926243,completed,130.9
2.0,MAPE,3.0,0.0,relu,2.0,64.0,0.0,1.2569127082824707,0.2470981329679489,0.3251911699771881,0.0132201130096326,-0.0850356050753621,1.2569127082824707,0.2490381598472595,0.3181698322296142,0.0295953390498144,-0.073380288582649,1.5757293701171875,"{""loss"": 1.233764410018921, ""mape"": 1.233764410018921, ""mae"": 0.2399117648601532, ""val_loss"": 1.2569127082824707, ""val_mape"": 1.2569127082824707, ""val_mae"": 0.2470981329679489, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 0.3251911699771881, ""val_me"": 0.013220113009632686, ""val_me12"": -0.08503560507536216, ""mape_2021"": 1.5757293701171875, ""mae_2021"": 0.24903815984725952, ""mae12_2021"": 0.31816983222961426, ""me_2021"": 0.029595339049814418, ""me12_2021"": -0.073380288582649, ""epochs_trained"": 3817}",2026-07-04T03:58:18.642281,completed,249.6
1.0,MAPE,3.0,0.0,relu,3.0,128.0,0.0,1.3575868606567385,0.270411878824234,0.3258675038814544,0.0218072784634344,-0.0637850828979881,1.3575868606567385,0.2726751863956451,0.3391169607639313,0.0404599114265975,-0.0022031311472207,1.6050182580947876,"{""loss"": 1.2676478624343872, ""mape"": 1.2676478624343872, ""mae"": 0.2507154643535614, ""val_loss"": 1.3575868606567383, ""val_mape"": 1.3575868606567383, ""val_mae"": 0.270411878824234, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.32586750388145447, ""val_me"": 0.021807278463434422, ""val_me12"": -0.06378508289798816, ""mape_2021"": 1.6050182580947876, ""mae_2021"": 0.27267518639564514, ""mae12_2021"": 0.3391169607639313, ""me_2021"": 0.04045991142659753, ""me12_2021"": -0.002203131147220783, ""epochs_trained"": 1919}",2026-07-04T00:19:18.499340,completed,207.2
2.0,MAPE,3.0,0.0,selu,3.0,128.0,0.0,1.2509263753890991,0.2449048608541488,0.3259725570678711,0.0331190331518314,-0.0410572398672604,1.2509263753890991,0.2485788166522979,0.3821771442890167,0.0489466422985731,-0.1057440462117344,1.7033692598342896,"{""loss"": 1.2345620393753052, ""mape"": 1.2345620393753052, ""mae"": 0.23920951783657074, ""val_loss"": 1.2509263753890991, ""val_mape"": 1.2509263753890991, ""val_mae"": 0.24490486085414886, ""lr"": 9.999999747378752e-06, ""val_mae12"": 0.3259725570678711, ""val_me"": 0.033119033151831456, ""val_me12"": -0.041057239867260405, ""mape_2021"": 1.7033692598342896, ""mae_2021"": 0.24857881665229797, ""mae12_2021"": 0.3821771442890167, ""me_2021"": 0.04894664229857319, ""me12_2021"": -0.10574404621173447, ""epochs_trained"": 2163}",2026-07-04T04:40:15.751469,completed,207.2
