dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
06-03-2011 1100,25.9,28.5
06-03-2011 1200,26.3,28.5
06-03-2011 1300,26.8,28.5
06-03-2011 1400,27,28.7
06-03-2011 1500,27.5,
06-03-2011 1600,27.9,29.5
06-03-2011 1700,28,30
06-03-2011 1800,28.1,
06-03-2011 1900,28,30.7
06-03-2011 2000,28.1,31.3
06-03-2011 2100,27.8,31.8
06-03-2011 2200,28.5,31.9
06-03-2011 2300,28,32.4
06-04-2011 0000,28.3,32.2
06-04-2011 0100,28,31.3
06-04-2011 0200,27.9,30.5
06-04-2011 0300,27.7,30
06-04-2011 0400,27.7,30.1
06-04-2011 0500,27.6,29.4
06-04-2011 0600,27.5,29.2
06-04-2011 0700,27.4,29.1
06-04-2011 0800,27.3,28.6
06-04-2011 0900,27.3,28.4
06-04-2011 1000,27.2,27.9
06-04-2011 1100,27.1,28.3
06-04-2011 1200,27.2,28.2
06-04-2011 1300,27.7,28.1
06-04-2011 1400,27.7,28.3
06-04-2011 1500,27.9,28.6
06-04-2011 1600,28,28.9
06-04-2011 1700,27.9,28.4
06-04-2011 1800,26.6,29.2
06-04-2011 1900,28,29.8
06-04-2011 2000,28,30.4
06-04-2011 2100,28.2,31.7
06-04-2011 2200,28.1,32.2
06-04-2011 2300,28.3,32.2
06-05-2011 0000,28,31.8
06-05-2011 0100,27.7,31.5
06-05-2011 0200,27.6,30.5
06-05-2011 0300,27.3,30
06-05-2011 0400,27.2,29.8
06-05-2011 0500,27,29.6
06-05-2011 0600,26.9,29.4
06-05-2011 0700,26.8,29.1
06-05-2011 0800,26.3,28.9
06-05-2011 0900,26.2,28.9
06-05-2011 1000,26.4,28.4
06-05-2011 1100,26.4,28.6
06-05-2011 1200,26.2,28.5
06-05-2011 1300,26.2,28.4
06-05-2011 1400,26.7,28.5
06-05-2011 1500,27,28.7
06-05-2011 1600,27.3,31.6
06-05-2011 1700,27.6,29.4
06-05-2011 1800,28.2,29.9
06-05-2011 1900,28.2,30.4
06-05-2011 2000,28.6,30.9
06-05-2011 2100,29.3,31.4
06-05-2011 2200,29.7,31.6
06-05-2011 2300,29.4,31.9
06-06-2011 0000,28.9,31.7
06-06-2011 0100,28.3,31.3
06-06-2011 0200,27.9,30.6
06-06-2011 0300,27.7,30.4
06-06-2011 0400,27.4,33.9
06-06-2011 0500,27.2,33.7
06-06-2011 0600,27,29.8
06-06-2011 0700,27.1,29.4
06-06-2011 0800,26.7,29.2
06-06-2011 0900,26,29.1
06-06-2011 1000,25.2,28.9
06-06-2011 1100,25.1,28.8
06-06-2011 1200,24.5,28.6
06-06-2011 1300,24.5,28.3
06-06-2011 1400,25.5,28.2
06-06-2011 1500,27.1,31.1
06-06-2011 1600,27.9,29.3
06-06-2011 1700,29.3,30
06-06-2011 1800,28.6,30.9
06-06-2011 1900,29.6,31.5
06-06-2011 2000,30.1,32
06-06-2011 2100,30.2,32
06-06-2011 2200,29.6,32.1
06-06-2011 2300,29.3,32
06-07-2011 0000,29.1,31.6
06-07-2011 0100,28.5,31.3
06-07-2011 0200,28.2,30.9
06-07-2011 0300,28,30.6
06-07-2011 0400,27.8,30.2
06-07-2011 0500,27.6,33.9
06-07-2011 0600,27.4,29.4
06-07-2011 0700,27,29.2
06-07-2011 0800,26.7,29
06-07-2011 0900,26.3,28.8
06-07-2011 1000,25.9,28.4
06-07-2011 1100,25.7,28.2
06-07-2011 1200,25.3,28
06-07-2011 1300,25.6,28.1
06-07-2011 1400,26.4,28.2
06-07-2011 1500,26.8,28.5
06-07-2011 1600,27.8,29
06-07-2011 1700,28.3,29.6
06-07-2011 1800,29,30.2
06-07-2011 1900,28.9,30.7
06-07-2011 2000,28.3,31.2
06-07-2011 2100,28.7,31.6
06-07-2011 2200,28.7,31.7
06-07-2011 2300,28.5,31.5
06-08-2011 0000,28.4,31.1
06-08-2011 0100,28.1,30.5
06-08-2011 0200,28.1,34.1
06-08-2011 0300,27.8,30
06-08-2011 0400,27.7,29.6
06-08-2011 0500,27.7,29.2
06-08-2011 0600,27.4,28.7
06-08-2011 0700,27.3,28.4
06-08-2011 0800,27.2,28.2
06-08-2011 0900,27.2,28
06-08-2011 1000,27.2,27.8
06-08-2011 1100,27.1,27.9
06-08-2011 1200,27,27.6
06-08-2011 1300,27.6,27.7
