dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
11-27-2013 1100,7.2,7.3
11-27-2013 1200,6.6,7
11-27-2013 1300,6.3,7
11-27-2013 1400,6.1,7.3
11-27-2013 1500,5.6,7.4
11-27-2013 1600,,7.5
11-27-2013 1700,,7.9
11-27-2013 1800,,8.2
11-27-2013 1900,6.8,8.5
11-27-2013 2000,7.4,8.9
11-27-2013 2100,8.4,9.3
11-27-2013 2200,9.2,9.6
11-27-2013 2300,9.5,9.9
11-28-2013 0000,9.3,9
11-28-2013 0100,9.2,9
11-28-2013 0200,8.5,8.8
11-28-2013 0300,8.5,8.6
11-28-2013 0400,8.2,8.3
11-28-2013 0500,8.2,7.9
11-28-2013 0600,7.9,7.7
11-28-2013 0700,7.4,7.6
11-28-2013 0800,7.3,7.5
11-28-2013 0900,7.2,7.5
11-28-2013 1000,7.3,7.5
11-28-2013 1100,7.5,7.7
11-28-2013 1200,7.2,7.3
11-28-2013 1300,7.3,7.6
11-28-2013 1400,7.8,7.6
11-28-2013 1500,7.9,8.1
11-28-2013 1600,8.6,8.3
11-28-2013 1700,9.6,8.6
11-28-2013 1800,10.1,9
11-28-2013 1900,10.7,9.4
11-28-2013 2000,11.4,9.8
11-28-2013 2100,11.5,9.8
11-28-2013 2200,11.7,10.1
11-28-2013 2300,11.7,9.9
11-29-2013 0000,11.6,9.5
11-29-2013 0100,11.4,9.6
11-29-2013 0200,11.1,9.5
11-29-2013 0300,11,9.5
11-29-2013 0400,10.7,9.4
11-29-2013 0500,10.9,9.4
11-29-2013 0600,10.8,9.4
11-29-2013 0700,10.6,9.4
11-29-2013 0800,10.2,9.3
11-29-2013 0900,10,9.3
11-29-2013 1000,9.6,9.3
11-29-2013 1100,9.6,9.2
11-29-2013 1200,9.5,9.2
11-29-2013 1300,9.6,9.2
11-29-2013 1400,10,9.3
11-29-2013 1500,10.8,9.5
11-29-2013 1600,12,9.8
11-29-2013 1700,13.9,10.2
11-29-2013 1800,15.6,11
11-29-2013 1900,15.8,11.1
11-29-2013 2000,15.4,12.2
11-29-2013 2100,15.4,12.2
11-29-2013 2200,15.3,12.6
11-29-2013 2300,15,12.6
11-30-2013 0000,14.8,12.6
11-30-2013 0100,15.2,12.5
11-30-2013 0200,15.5,12.1
11-30-2013 0300,15.7,12.9
11-30-2013 0400,16,12.8
11-30-2013 0500,16.4,12.2
11-30-2013 0600,16.8,12.2
11-30-2013 0700,16.2,12.4
11-30-2013 0800,16.2,12.6
11-30-2013 0900,16.3,12.4
11-30-2013 1000,16.6,12.4
11-30-2013 1100,17.1,12.2
11-30-2013 1200,17,12.1
11-30-2013 1300,16.2,12.2
11-30-2013 1400,16.5,12.3
11-30-2013 1500,14.2,12.4
11-30-2013 1600,16.6,12.6
11-30-2013 1700,20.1,13.5
11-30-2013 1800,20.3,13.8
11-30-2013 1900,20.5,14.1
11-30-2013 2000,20.1,14.2
11-30-2013 2100,19.3,14.3
11-30-2013 2200,19.5,14.4
11-30-2013 2300,18.9,14.7
12-01-2013 0000,18.3,14.6
12-01-2013 0100,17.9,14.5
12-01-2013 0200,18.7,14.1
12-01-2013 0300,18.9,14
12-01-2013 0400,18.9,13.8
12-01-2013 0500,18.9,13.8
