dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
10-08-2024 0700,24.7,27.8
10-08-2024 0800,23.7,27.6
10-08-2024 0900,23.1,27.5
10-08-2024 1000,23.2,27.4
10-08-2024 1100,22.9,27.3
10-08-2024 1200,22.5,27.2
10-08-2024 1300,22.8,27.0
10-08-2024 1400,24.0,26.9
10-08-2024 1500,25.9,26.9
10-08-2024 1600,27.5,27.0
10-08-2024 1700,28.0,27.2
10-08-2024 1800,28.4,27.5
10-08-2024 1900,29.6,27.9
10-08-2024 2000,29.1,28.2
10-08-2024 2100,29.2,28.4
10-08-2024 2200,29.0,28.7
10-08-2024 2300,28.8,28.8
10-09-2024 0000,27.9,28.7
10-09-2024 0100,27.1,28.8
10-09-2024 0200,27.1,28.7
10-09-2024 0300,26.9,28.6
10-09-2024 0400,26.9,28.5
10-09-2024 0500,26.3,28.2
10-09-2024 0600,26.0,27.9
10-09-2024 0700,26.3,27.8
10-09-2024 0800,26.2,27.8
10-09-2024 0900,26.2,27.7
10-09-2024 1000,26.1,27.6
10-09-2024 1100,26.3,27.5
10-09-2024 1200,25.7,27.4
10-09-2024 1300,26.2,27.2
10-09-2024 1400,26.2,27.1
10-09-2024 1500,26.3,27.0
10-09-2024 1600,26.2,27.2
10-09-2024 1700,26.4,27.4
10-09-2024 1800,26.8,27.6
10-09-2024 1900,27.2,27.7
10-09-2024 2000,27.5,28.0
10-09-2024 2100,27.9,28.1
10-09-2024 2200,27.4,28.2
10-09-2024 2300,27.4,28.3
10-10-2024 0000,26.2,28.4
10-10-2024 0100,25.9,28.3
10-10-2024 0200,25.9,28.2
10-10-2024 0300,26.0,28.1
10-10-2024 0400,25.7,28.0
10-10-2024 0500,26.1,27.9
10-10-2024 0600,25.3,27.8
10-10-2024 0700,24.8,27.6
10-10-2024 0800,23.3,27.5
10-10-2024 0900,21.7,27.3
10-10-2024 1000,21.5,27.1
10-10-2024 1100,21.9,26.9
10-10-2024 1200,22.3,26.7
10-10-2024 1300,22.2,26.7
10-10-2024 1400,23.2,26.7
10-10-2024 1500,24.1,26.7
10-10-2024 1600,25.8,26.9
10-10-2024 1700,26.4,27.1
10-10-2024 1800,26.8,27.5
10-10-2024 1900,27.3,27.9
10-10-2024 2000,27.9,28.2
10-10-2024 2100,27.9,28.7
10-10-2024 2200,27.8,28.9
10-10-2024 2300,27.6,28.8
10-11-2024 0000,26.9,28.7
10-11-2024 0100,26.4,28.6
10-11-2024 0200,26.2,28.6
10-11-2024 0300,26.2,28.4
10-11-2024 0400,26.2,28.2
10-11-2024 0500,26.0,28.0
10-11-2024 0600,25.8,27.8
10-11-2024 0700,25.7,27.7
10-11-2024 0800,26.3,27.5
10-11-2024 0900,26.1,27.4
10-11-2024 1000,25.9,27.2
10-11-2024 1100,25.8,27.1
10-11-2024 1200,25.6,26.9
10-11-2024 1300,25.6,26.7
10-11-2024 1400,27.0,26.7
10-11-2024 1500,26.9,26.7
10-11-2024 1600,26.9,27.0
10-11-2024 1700,27.0,27.3
10-11-2024 1800,27.4,27.6
10-11-2024 1900,27.5,27.8
10-11-2024 2000,27.7,28.2
10-11-2024 2100,27.7,28.4
10-11-2024 2200,27.7,28.6
10-11-2024 2300,28.0,28.7
10-12-2024 0000,27.3,28.9
10-12-2024 0100,26.8,28.9
10-12-2024 0200,26.5,28.6
10-12-2024 0300,26.4,28.3
10-12-2024 0400,26.4,28.2
10-12-2024 0500,26.4,28.1
10-12-2024 0600,26.0,28.0
10-12-2024 0700,26.1,27.9
10-12-2024 0800,25.9,27.7
10-12-2024 0900,25.6,27.6
10-12-2024 1000,25.4,27.5
10-12-2024 1100,25.7,27.3
10-12-2024 1200,25.6,27.0
10-12-2024 1300,23.7,26.9
10-12-2024 1400,24.8,26.9
10-12-2024 1500,25.2,27.0
10-12-2024 1600,26.6,27.3
10-12-2024 1700,27.6,27.7
10-12-2024 1800,28.5,28.1
10-12-2024 1900,27.9,28.5
10-12-2024 2000,28.0,28.8
10-12-2024 2100,28.0,28.7
10-12-2024 2200,28.2,28.9
10-12-2024 2300,27.8,29.0
10-13-2024 0000,27.0,29.1
10-13-2024 0100,26.7,28.9
10-13-2024 0200,26.6,28.8
10-13-2024 0300,26.5,28.6
10-13-2024 0400,26.4,28.4
10-13-2024 0500,26.2,28.2
10-13-2024 0600,25.9,28.0
10-13-2024 0700,25.6,27.8
10-13-2024 0800,25.5,27.6
10-13-2024 0900,24.7,27.3
10-13-2024 1000,24.0,27.2
10-13-2024 1100,24.8,27.0
10-13-2024 1200,23.9,26.7
10-13-2024 1300,23.0,26.4
10-13-2024 1400,24.1,26.4
10-13-2024 1500,25.5,26.4
10-13-2024 1600,26.0,26.7
10-13-2024 1700,26.5,26.9
10-13-2024 1800,27.0,27.3
10-13-2024 1900,27.6,27.8
10-13-2024 2000,27.7,28.1
10-13-2024 2100,27.8,28.4
10-13-2024 2200,27.6,28.6
10-13-2024 2300,27.4,28.6
10-14-2024 0000,26.7,28.5
10-14-2024 0100,26.3,28.4
10-14-2024 0200,26.1,28.3
10-14-2024 0300,25.8,28.1
10-14-2024 0400,25.9,27.9
10-14-2024 0500,25.8,27.8
10-14-2024 0600,25.6,27.7
10-14-2024 0700,25.9,27.3
10-14-2024 0800,25.3,27.1
10-14-2024 0900,24.8,26.9
10-14-2024 1000,24.1,26.7
10-14-2024 1100,24.2,26.6
10-14-2024 1200,24.4,26.5
10-14-2024 1300,22.8,26.3
10-14-2024 1400,21.7,26.2
10-14-2024 1500,22.9,26.3
10-14-2024 1600,24.7,26.5
10-14-2024 1700,26.4,27.0
10-14-2024 1800,27.7,27.4
10-14-2024 1900,27.8,28.0
10-14-2024 2000,27.8,28.3
10-14-2024 2100,28.8,28.7
10-14-2024 2200,28.2,28.9
10-14-2024 2300,27.6,28.8
10-15-2024 0000,27.0,28.6
10-15-2024 0100,26.5,28.3
10-15-2024 0200,26.4,28.1
10-15-2024 0300,26.0,28.0
10-15-2024 0400,26.0,27.8
10-15-2024 0500,26.1,27.6
10-15-2024 0600,25.9,27.4
10-15-2024 0700,25.9,27.3
10-15-2024 0800,24.2,27.1
10-15-2024 0900,22.8,27.1
10-15-2024 1000,23.5,26.9
10-15-2024 1100,22.9,26.7
10-15-2024 1200,22.6,26.6
