run_num,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status
1,MAPE,96,2,leaky_relu,1,256,0.05,53.52768325805664,11.847150802612305,4.1392927169799805,9.697655314849511,2.797339568120531,53.52768325805664,11.195438385009766,7.2948408126831055,10.357253163948204,5.966285067833744,59.188316345214844,"{""loss"": 43.722923278808594, ""mape"": 43.722923278808594, ""mae"": 9.56862735748291, ""val_loss"": 53.52768325805664, ""val_mape"": 53.52768325805664, ""val_mae"": 11.847150802612305, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.1392927169799805, ""val_me"": 9.697655314849511, ""val_me12"": 2.797339568120531, ""mape_2021"": 59.188316345214844, ""mae_2021"": 11.195438385009766, ""mae12_2021"": 7.2948408126831055, ""me_2021"": 10.357253163948204, ""me12_2021"": 5.966285067833744, ""epochs_trained"": 53}",2026-07-02T08:10:27.227270,completed
1,MAPE,96,2,leaky_relu,1,256,0.3,53.77404022216797,11.864462852478027,4.536747455596924,9.366804793100211,3.3274294767814894,53.77404022216797,11.021777153015137,7.778916835784912,10.046955200023236,6.664675188543128,59.33171844482422,"{""loss"": 44.907958984375, ""mape"": 44.907958984375, ""mae"": 9.802251815795898, ""val_loss"": 53.77404022216797, ""val_mape"": 53.77404022216797, ""val_mae"": 11.864462852478027, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.536747455596924, ""val_me"": 9.366804793100211, ""val_me12"": 3.3274294767814894, ""mape_2021"": 59.33171844482422, ""mae_2021"": 11.021777153015137, ""mae12_2021"": 7.778916835784912, ""me_2021"": 10.046955200023236, ""me12_2021"": 6.664675188543128, ""epochs_trained"": 56}",2026-07-02T08:10:27.307498,completed
1,MAPE,96,2,leaky_relu,1,128,0.05,53.71458435058594,11.822729110717773,4.459898948669434,9.52984686884166,3.324328106081326,53.71458435058594,11.118467330932617,7.696125507354736,10.176840044632579,6.659935298047191,59.761940002441406,"{""loss"": 43.95652389526367, ""mape"": 43.95652389526367, ""mae"": 9.570473670959473, ""val_loss"": 53.71458435058594, ""val_mape"": 53.71458435058594, ""val_mae"": 11.822729110717773, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.459898948669434, ""val_me"": 9.52984686884166, ""val_me12"": 3.324328106081326, ""mape_2021"": 59.761940002441406, ""mae_2021"": 11.118467330932617, ""mae12_2021"": 7.696125507354736, ""me_2021"": 10.176840044632579, ""me12_2021"": 6.659935298047191, ""epochs_trained"": 61}",2026-07-02T08:10:27.470361,completed
1,MAPE,96,2,leaky_relu,1,256,0.1,52.93410873413086,11.723162651062012,4.752892017364502,9.182234337829755,3.697633674514515,52.93410873413086,10.8504638671875,8.028207778930664,9.831917632056966,6.936393304261404,58.076377868652344,"{""loss"": 43.36880874633789, ""mape"": 43.36880874633789, ""mae"": 9.487865447998047, ""val_loss"": 52.93410873413086, ""val_mape"": 52.93410873413086, ""val_mae"": 11.723162651062012, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.752892017364502, ""val_me"": 9.182234337829755, ""val_me12"": 3.697633674514515, ""mape_2021"": 58.076377868652344, ""mae_2021"": 10.8504638671875, ""mae12_2021"": 8.028207778930664, ""me_2021"": 9.831917632056966, ""me12_2021"": 6.936393304261404, ""epochs_trained"": 62}",2026-07-02T08:10:27.513361,completed
1,MAPE,96,2,leaky_relu,1,128,0.1,52.96785354614258,11.668046951293945,4.78599214553833,9.266531013149365,3.6462570054840744,52.96785354614258,10.92299747467041,8.193589210510254,9.911499102812305,7.057120906239918,58.834312438964844,"{""loss"": 43.597476959228516, ""mape"": 43.597476959228516, ""mae"": 9.48587703704834, ""val_loss"": 52.96785354614258, ""val_mape"": 52.96785354614258, ""val_mae"": 11.668046951293945, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.78599214553833, ""val_me"": 9.266531013149365, ""val_me12"": 3.6462570054840744, ""mape_2021"": 58.834312438964844, ""mae_2021"": 10.92299747467041, ""mae12_2021"": 8.193589210510254, ""me_2021"": 9.911499102812305, ""me12_2021"": 7.057120906239918, ""epochs_trained"": 66}",2026-07-02T08:10:27.514363,completed
1,MAPE,96,2,leaky_relu,1,256,0.0,53.243309020996094,11.753374099731445,4.549121856689453,9.40232657104109,3.4728345205078712,53.243309020996094,11.016180992126465,7.7874836921691895,10.060175123980104,6.753480753670748,59.03239059448242,"{""loss"": 43.24808120727539, ""mape"": 43.24808120727539, ""mae"": 9.450873374938965, ""val_loss"": 53.243309020996094, ""val_mape"": 53.243309020996094, ""val_mae"": 11.753374099731445, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.549121856689453, ""val_me"": 9.40232657104109, ""val_me12"": 3.4728345205078712, ""mape_2021"": 59.03239059448242, ""mae_2021"": 11.016180992126465, ""mae12_2021"": 7.7874836921691895, ""me_2021"": 10.060175123980104, ""me12_2021"": 6.753480753670748, ""epochs_trained"": 57}",2026-07-02T08:10:27.523362,completed
1,MAPE,96,2,leaky_relu,1,128,0.0,52.66130447387695,11.59720516204834,4.823068618774414,9.21156796431815,3.7329663018873442,52.66130447387695,10.884952545166016,8.236506462097168,9.854336949850676,7.0867832427041995,58.57292175292969,"{""loss"": 42.7746467590332, ""mape"": 42.7746467590332, ""mae"": 9.330267906188965, ""val_loss"": 52.66130447387695, ""val_mape"": 52.66130447387695, ""val_mae"": 11.59720516204834, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.823068618774414, ""val_me"": 9.21156796431815, ""val_me12"": 3.7329663018873442, ""mape_2021"": 58.57292175292969, ""mae_2021"": 10.884952545166016, ""mae12_2021"": 8.236506462097168, ""me_2021"": 9.854336949850676, ""me12_2021"": 7.0867832427041995, ""epochs_trained"": 71}",2026-07-02T08:10:27.708303,completed
1,MAPE,96,2,leaky_relu,1,128,0.3,52.96938705444336,11.575472831726074,5.256304740905762,9.179968664273009,4.385543358379292,52.96938705444336,10.892157554626465,8.641429901123047,9.795724913384946,7.883622046127975,59.28319549560547,"{""loss"": 46.004356384277344, ""mape"": 46.004356384277344, ""mae"": 9.976161003112793, ""val_loss"": 52.96938705444336, ""val_mape"": 52.96938705444336, ""val_mae"": 11.575472831726074, ""lr"": 0.00010000000474974513, ""val_mae12"": 5.256304740905762, ""val_me"": 9.179968664273009, ""val_me12"": 4.385543358379292, ""mape_2021"": 59.28319549560547, ""mae_2021"": 10.892157554626465, ""mae12_2021"": 8.641429901123047, ""me_2021"": 9.795724913384946, ""me12_2021"": 7.883622046127975, ""epochs_trained"": 72}",2026-07-02T08:10:28.091994,completed
1,MAPE,96,2,leaky_relu,2,32,0.0,54.13407897949219,11.753434181213379,4.289292812347412,9.970008822036814,2.6580228630671274,54.13407897949219,11.401286125183105,6.944563388824463,10.653075071268148,5.876123087531498,60.73179626464844,"{""loss"": 44.12358474731445, ""mape"": 44.12358474731445, ""mae"": 9.504423141479492, ""val_loss"": 54.13407897949219, ""val_mape"": 54.13407897949219, ""val_mae"": 11.753434181213379, ""lr"": 0.00010000000474974513, ""val_mae12"": 4.289292812347412, ""val_me"": 9.970008822036814, ""val_me12"": 2.6580228630671274, ""mape_2021"": 60.73179626464844, ""mae_2021"": 11.401286125183105, ""mae12_2021"": 6.944563388824463, ""me_2021"": 10.653075071268148, ""me12_2021"": 5.876123087531498, ""epochs_trained"": 70}",2026-07-02T08:10:36.293189,completed
1,MAPE,96,2,leaky_relu,2,32,0.05,53.18593215942383,11.699756622314453,5.661092758178711,9.19129200847172,4.663185202528604,53.18593215942383,10.930948257446289,9.275684356689453,9.806899841964237,8.50537999607187,60.78342056274414,"{""loss"": 44.86146926879883, ""mape"": 44.86146926879883, ""mae"": 9.787771224975586, ""val_loss"": 53.18593215942383, ""val_mape"": 53.18593215942383, ""val_mae"": 11.699756622314453, ""lr"": 0.00010000000474974513, ""val_mae12"": 5.661092758178711, ""val_me"": 9.19129200847172, ""val_me12"": 4.663185202528604, ""mape_2021"": 60.78342056274414, ""mae_2021"": 10.930948257446289, ""mae12_2021"": 9.275684356689453, ""me_2021"": 9.806899841964237, ""me12_2021"": 8.50537999607187, ""epochs_trained"": 71}",2026-07-02T08:10:36.537222,completed
