run_num,model_type,lead_time,cycle,activation,num_layers,neurons,dropout,loss_value,val_mae,val_mae12,val_me,val_me12,val_mape,mae_2021,mae12_2021,me_2021,me12_2021,mape_2021,metrics,timestamp,status,duration_sec
1,MAPE,90,0,relu,1,64,0.05,-1.0,,,,,,,,,,,,2026-07-05T14:23:25.792438,error: preparingData() not found in project,
1,MAPE,90,0,relu,1,16,0.05,46.626583099365234,9.403787612915039,8.27171516418457,7.679562676547378,8.14689261042345,46.626583099365234,10.57654094696045,11.932768821716309,8.77751120794446,11.80634078740362,62.52105712890625,"{""loss"": 49.41959762573242, ""mape"": 49.41959762573242, ""mae"": 10.119461059570312, ""val_loss"": 46.626583099365234, ""val_mape"": 46.626583099365234, ""val_mae"": 9.403787612915039, ""lr"": 0.00010000000474974513, ""val_mae12"": 8.27171516418457, ""val_me"": 7.679562676547378, ""val_me12"": 8.14689261042345, ""mape_2021"": 62.52105712890625, ""mae_2021"": 10.57654094696045, ""mae12_2021"": 11.932768821716309, ""me_2021"": 8.77751120794446, ""me12_2021"": 11.80634078740362, ""epochs_trained"": 125}",2026-07-20T19:22:38.645384,completed,13.2
1,MAPE,90,0,relu,1,16,0.0,46.331504821777344,9.32188606262207,10.132448196411133,7.140019456921442,9.708493957907322,46.331504821777344,10.2286958694458,13.390424728393555,8.122275607604491,12.86404082535986,60.5489501953125,"{""loss"": 45.998531341552734, ""mape"": 45.998531341552734, ""mae"": 9.35922908782959, ""val_loss"": 46.331504821777344, ""val_mape"": 46.331504821777344, ""val_mae"": 9.32188606262207, ""lr"": 0.00010000000474974513, ""val_mae12"": 10.132448196411133, ""val_me"": 7.140019456921442, ""val_me12"": 9.708493957907322, ""mape_2021"": 60.5489501953125, ""mae_2021"": 10.2286958694458, ""mae12_2021"": 13.390424728393555, ""me_2021"": 8.122275607604491, ""me12_2021"": 12.86404082535986, ""epochs_trained"": 181}",2026-07-20T19:22:40.513325,completed,15.1
1,MAPE,90,0,relu,1,16,0.1,46.96745681762695,9.645447731018066,9.216713905334473,7.8742638147780095,8.746275490214448,46.96745681762695,10.459480285644531,12.529122352600098,8.757515338436265,11.898851908173333,60.609683990478516,"{""loss"": 49.83511734008789, ""mape"": 49.83511734008789, ""mae"": 10.42736530303955, ""val_loss"": 46.96745681762695, ""val_mape"": 46.96745681762695, ""val_mae"": 9.645447731018066, ""lr"": 0.00010000000474974513, ""val_mae12"": 9.216713905334473, ""val_me"": 7.8742638147780095, ""val_me12"": 8.746275490214448, ""mape_2021"": 60.609683990478516, ""mae_2021"": 10.459480285644531, ""mae12_2021"": 12.529122352600098, ""me_2021"": 8.757515338436265, ""me12_2021"": 11.898851908173333, ""epochs_trained"": 225}",2026-07-20T19:22:42.087770,completed,16.7
1,MAPE,90,0,relu,1,32,0.0,47.230464935302734,9.497689247131348,10.80623722076416,6.893245383033927,10.741502328290522,47.230464935302734,10.274255752563477,15.008563041687012,7.85986073514593,14.93523181614341,63.67520523071289,"{""loss"": 47.173091888427734, ""mape"": 47.173091888427734, ""mae"": 9.501564979553223, ""val_loss"": 47.230464935302734, ""val_mape"": 47.230464935302734, ""val_mae"": 9.497689247131348, ""lr"": 0.00010000000474974513, ""val_mae12"": 10.80623722076416, ""val_me"": 6.893245383033927, ""val_me12"": 10.741502328290522, ""mape_2021"": 63.67520523071289, ""mae_2021"": 10.274255752563477, ""mae12_2021"": 15.008563041687012, ""me_2021"": 7.85986073514593, ""me12_2021"": 14.93523181614341, ""epochs_trained"": 109}",2026-07-20T19:22:45.543064,completed,6.9
1,MAPE,90,0,relu,1,32,0.05,46.031005859375,9.284826278686523,9.806591987609863,6.995791577550929,9.406284510638988,46.031005859375,10.212485313415527,12.99692440032959,8.069150999591667,12.497729771924853,60.40513610839844,"{""loss"": 47.54279327392578, ""mape"": 47.54279327392578, ""mae"": 9.796055793762207, ""val_loss"": 46.031005859375, ""val_mape"": 46.031005859375, ""val_mae"": 9.284826278686523, ""lr"": 0.00010000000474974513, ""val_mae12"": 9.806591987609863, ""val_me"": 6.995791577550929, ""val_me12"": 9.406284510638988, ""mape_2021"": 60.40513610839844, ""mae_2021"": 10.212485313415527, ""mae12_2021"": 12.99692440032959, ""me_2021"": 8.069150999591667, ""me12_2021"": 12.497729771924853, ""epochs_trained"": 137}",2026-07-20T19:22:48.649498,completed,8.1
1,MAPE,90,0,relu,1,32,0.1,45.8946418762207,9.299027442932129,9.61458683013916,7.133253871442555,9.115738331007524,45.8946418762207,10.209007263183594,12.832765579223633,8.14697068284152,12.187639872490866,59.74541473388672,"{""loss"": 47.57267761230469, ""mape"": 47.57267761230469, ""mae"": 9.818148612976074, ""val_loss"": 45.8946418762207, ""val_mape"": 45.8946418762207, ""val_mae"": 9.299027442932129, ""lr"": 0.00010000000474974513, ""val_mae12"": 9.61458683013916, ""val_me"": 7.133253871442555, ""val_me12"": 9.115738331007524, ""mape_2021"": 59.74541473388672, ""mae_2021"": 10.209007263183594, ""mae12_2021"": 12.832765579223633, ""me_2021"": 8.14697068284152, ""me12_2021"": 12.187639872490866, ""epochs_trained"": 139}",2026-07-20T19:22:50.230056,completed,8.1
1,MAPE,90,0,relu,1,16,0.3,50.646541595458984,11.365388870239258,6.220858573913574,10.207529125526404,4.872835386081413,50.646541595458984,11.718362808227539,8.12204360961914,10.698407006764269,5.919104292142782,57.709228515625,"{""loss"": 54.824920654296875, ""mape"": 54.824920654296875, ""mae"": 12.254813194274902, ""val_loss"": 50.646541595458984, ""val_mape"": 50.646541595458984, ""val_mae"": 11.365388870239258, ""lr"": 0.00010000000474974513, ""val_mae12"": 6.220858573913574, ""val_me"": 10.207529125526404, ""val_me12"": 4.872835386081413, ""mape_2021"": 57.709228515625, ""mae_2021"": 11.718362808227539, ""mae12_2021"": 8.12204360961914, ""me_2021"": 10.698407006764269, ""me12_2021"": 5.919104292142782, ""epochs_trained"": 524}",2026-07-20T19:22:52.572565,completed,27.1
1,MAPE,90,0,relu,1,32,0.3,14.46561050415039,2.92397141456604,3.757308006286621,2.1719732298370285,1.3803496687864416,14.46561050415039,3.367464303970337,2.455268383026123,2.690866386871127,-1.130033684429687,17.312213897705078,"{""loss"": 22.4559268951416, ""mape"": 22.4559268951416, ""mae"": 4.878874778747559, ""val_loss"": 14.46561050415039, ""val_mape"": 14.46561050415039, ""val_mae"": 2.92397141456604, ""lr"": 1.0000000656873453e-05, ""val_mae12"": 3.757308006286621, ""val_me"": 2.1719732298370285, ""val_me12"": 1.3803496687864416, ""mape_2021"": 17.312213897705078, ""mae_2021"": 3.367464303970337, ""mae12_2021"": 2.455268383026123, ""me_2021"": 2.690866386871127, ""me12_2021"": -1.130033684429687, ""epochs_trained"": 1062}",2026-07-20T19:23:21.573773,completed,36.0
1,MAPE,90,0,relu,1,64,0.0,46.36775588989258,9.394472122192383,10.130934715270996,6.759341278916129,9.682689359323618,46.36775588989258,10.147077560424805,13.419233322143555,7.790583875741381,12.827975087953448,59.960670471191406,"{""loss"": 45.61420822143555, ""mape"": 45.61420822143555, ""mae"": 9.304012298583984, ""val_loss"": 46.36775588989258, ""val_mape"": 46.36775588989258, ""val_mae"": 9.394472122192383, ""lr"": 0.00010000000474974513, ""val_mae12"": 10.130934715270996, ""val_me"": 6.759341278916129, ""val_me12"": 9.682689359323618, ""mape_2021"": 59.960670471191406, ""mae_2021"": 10.147077560424805, ""mae12_2021"": 13.419233322143555, ""me_2021"": 7.790583875741381, ""me12_2021"": 12.827975087953448, ""epochs_trained"": 108}",2026-07-20T19:23:35.795270,completed,13.6
